fpl_code,fpl_name,footballdata_name
3,Arsenal,Arsenal
7,Aston Villa,Aston Villa
90,Burnley,Burnley
91,Bournemouth,Bournemouth
94,Brentford,Brentford
36,Brighton,Brighton
8,Chelsea,Chelsea
31,Crystal Palace,Crystal Palace
11,Everton,Everton
54,Fulham,Fulham
2,Leeds,Leeds
14,Liverpool,Liverpool
43,Man City,Man City
4,Newcastle,Newcastle
17,Nott'm Forest,Nott'm Forest
56,Sunderland,Sunderland
21,West Ham,West Ham
39,Wolves,Wolves
1,Man Utd,Man United
6,Spurs,Tottenham
40,Ipswich,Ipswich
49,Sheffield Utd,Sheffield United
57,Watford,Watford
35,West Brom,West Brom
13,Leicester,Leicester
20,Southampton,Southampton
102,Luton,Luton
45,Norwich,Norwich
88,Hull,Hull
25,Middlesbrough,Middlesbrough
110,Stoke,Stoke
80,Swansea,Swansea
38,Huddersfield,Huddersfield
97,Cardiff,Cardiff
